"long","lat","variety","seeding_rate","seed_spacing","speed"
-91.8464093996779,40.3762263515063,"P1498",33.1561,6.3062,3.6
-91.8464094996778,40.3762410515063,"P1498",33.1661,6.3043,3.67
-91.8464087996778,40.3762558515063,"P1498",33.1901,6.2997,3.66
-91.8464083996779,40.3762706515063,"P1498",33.2601,6.2865,3.67
-91.8464083996779,40.3762856515063,"P1498",33.2981,6.2793,3.7
-91.8464083996779,40.3763006515063,"P1498",33.3051,6.278,3.71
-91.8464081996779,40.3763156515063,"P1498",33.3491,6.2697,3.73
-91.8464073996778,40.3763304515063,"P1498",33.3871,6.2626,3.72
-91.8464071996779,40.3763454515063,"P1498",33.4001,6.2601,3.72
-91.8464075996778,40.3763604515063,"P1498",33.4531,6.2502,3.72
-91.8464068996778,40.3763753515063,"P1498",33.4931,6.2427,3.73
-91.8464067996779,40.3763902515063,"P1498",33.4611,6.2487,3.72
-91.8464064996779,40.3764051515063,"P1498",33.4451,6.2517,3.71
-91.8464062996779,40.3764199515063,"P1498",33.6141,6.2203,3.7
-91.8464059996779,40.3764348515063,"P1498",33.7831,6.1891,3.7
-91.8464054996778,40.3764497515063,"P1498",33.7951,6.187,3.7
-91.8464052996779,40.3764647515063,"P1498",33.8291,6.1807,3.72
-91.8464052996779,40.3764796515063,"P1498",33.8771,6.172,3.72
-91.8464048996779,40.3764944515063,"P1498",33.9351,6.1614,3.71
-91.8464043996779,40.3765094515063,"P1498",34.0041,6.1489,3.71
-91.8464044996778,40.3765245515063,"P1498",34.0831,6.1347,3.72
-91.8464042996778,40.3765393515063,"P1498",34.1131,6.1293,3.73
-91.8464047996779,40.3765541515063,"P1498",34.1721,6.1187,3.71
-91.8464035996778,40.3765691515063,"P1498",34.2231,6.1096,3.72
-91.8464037996778,40.3765840515063,"P1498",34.1931,6.1149,3.71
-91.8464036996779,40.3765989515063,"P1498",34.2251,6.1092,3.71
-91.8464033996779,40.3766138515063,"P1498",34.2301,6.1083,3.71
-91.8464032996778,40.3766287515063,"P1498",34.2461,6.1055,3.71
-91.8464029996778,40.3766435515063,"P1498",34.3501,6.087,3.71
-91.8464029996778,40.3766584515063,"P1498",34.3791,6.0819,3.7
-91.8464024996779,40.3766733515063,"P1498",34.4151,6.0755,3.7
-91.8464019996779,40.3766882515063,"P1498",34.4031,6.0776,3.71
-91.8464011996778,40.3767030515063,"P1498",34.4411,6.0709,3.7
-91.8464010996778,40.3767179515063,"P1498",34.4661,6.0665,3.71
-91.8464008996778,40.3767328515063,"P1498",34.4511,6.0691,3.71
-91.8464009996779,40.3767478515063,"P1498",34.4641,6.0669,3.72
-91.8464013996778,40.3767627515063,"P1498",34.4851,6.0632,3.72
-91.8464012996779,40.3767777515063,"P1498",34.4491,6.0695,3.72
-91.8464008996778,40.3767926515063,"P1498",34.4421,6.0707,3.73
-91.8464004996779,40.3768076515063,"P1498",34.4661,6.0665,3.72
